unique_event_ID,location_name,location_name_ar,geo_longitude,geo_latitude,geo_accuracy,date_time,event_summary,event_summary_ar,type_of_violation,weapons_used,sources,sources_ar,embedded_videos,youtube_id_video,url_links,photos,files,number_1: *RENAME*,number_2: *RENAME*,number_3: *RENAME*,number_4: *RENAME*,number_5: *RENAME*,tag_1: *RENAME*,tag_2: *RENAME*,tag_3: *RENAME*,tag_4: *RENAME*,tag_5: *RENAME*,boolean_1: *RENAME*,boolean_2: *RENAME*,boolean_3: *RENAME*,boolean_4: *RENAME*,boolean_5: *RENAME*,Column,Column2,Column3,Column4,media_available,COMMENTS / QUERIES
CW_1001,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,23/05/2013 00:00:00,Casualties of the chemical attack,حالات اختناق جراء استخدام السلاح الكيماوي,Use of illegal weapons,UnKnown,Free Duma Network,شبكة أحرار دوما,http://syriantechies.com/files/videoapiresults/Free_Duma_Network/KqM1yCOA8DA.mp4,KqM1yCOA8DA,https://www.youtube.com/user/Syriaaaafree,,,,,,,,,,,,,,,,,,,,,,,
CW_1002,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,23/05/2013 00:00:00,One of the casualties of the chemical attack,احد المصاببين نتيجة القصف بالكيماوي,Use of illegal weapons,UnKnown,Abu Baraa who is a citizen reporter,ابو البراء,http://syriantechies.com/files/videoapiresults/Abu_Albaraa_Adra/MOV_0034.mp4,1dErjYKtUWE,https://www.youtube.com/user/adranews2011,,,,,,,,,,,,,,,,,,,,,,,
CW_1003,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,23/05/2013 00:00:00,One of the casualties of the chemical attack,احد المصاببين نتيجة القصف بالكيماوي,Use of illegal weapons,UnKnown,Abu Baraa who is a citizen reporter,ابو البراء,http://syriantechies.com/files/videoapiresults/Abu_Albaraa_Adra/MOV_0035.mp4,BnOhq2BPG4I,https://www.youtube.com/user/adranews2011,,,,,,,,,,,,,,,,,,,,,,,
CW_1004,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,23/05/2013 00:00:00,One of the casualties of the chemical attack,احد المصاببين نتيجة القصف بالكيماوي,Use of illegal weapons,UnKnown,Abu Baraa who is a citizen reporter,ابو البراء,http://syriantechies.com/files/videoapiresults/Abu_Albaraa_Adra/MOV_0033.mp4,c6BGAl561No,https://www.youtube.com/user/adranews2011,,,,,,,,,,,,,,,,,,,,,,,
CW_1005,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,23/05/2013 00:00:00,One of the casualties of the chemical attack,احد المصاببين نتيجة القصف بالكيماوي,Use of illegal weapons,UnKnown,Abu Baraa who is a citizen reporter,ابو البراء,http://syriantechies.com/files/videoapiresults/Abu_Albaraa_Adra/MOV_0037.mp4,cJc-iytI7LE,https://www.youtube.com/user/adranews2011,,,,,,,,,,,,,,,,,,,,,,,
CW_1006,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,23/05/2013 00:00:00,"Said al-Helmi, killed in chemical attack",الشهيد سعيد الهلمي نتيجة القصف بالكيماوي على المدينة,Use of illegal weapons,UnKnown,Abu Baraa who is a citizen reporter,ابو البراء,http://syriantechies.com/files/videoapiresults/Abu_Albaraa_Adra/MOV_0038.mp4,qYTQ7OIjGJs,https://www.youtube.com/user/adranews2011,,,,,,,,,,,,,,,,,,,,,,,
CW_1007,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,23/05/2013 00:00:00,Casualties of the chemical attack that was taken to Duma hospital for treatment ,حالات اختناق تم اسعافها في مشفى دوما الميداني جراء استخدام السلاح الكيماوي في عدرا,Use of illegal weapons,UnKnown,Abu Muaz Aldomani who is a citizen reporter,أبو معاذ الدوماني,"http://syriantechies.com/files/videoapiresults/%D9%8A%D8%A7%D8%B3%D8%B1%20%D8%A7%D9%84%D8%AF%D9%88%D9%85%D8%A7%D9%86%D9%8A/Alleged%20Chemical%20Attack%20In%20Adra,%20Damascus-qH8xFH_BHQQ.mp4",qH8xFH_BHQQ,https://www.youtube.com/watch?v=qH8xFH_BHQQ,,,,,,,,,,,,,,,,,,,,,,,
CW_1008,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,05/08/2013 00:00:00,Remains of rocket,بقايا الصاروخ المحمل بمواد كيماوية,Use of illegal weapons,UnKnown,Mohammad Alfateh who is a citizen reporter in Duma,المراسل الميداني في دوما محمد الفاتح,http://syriantechies.com/files/videoapiresults/Muhammed_Alfateh_Adra_Duma/YLcqi_dE9SU%D8%B9%D8%AF%D8%B1%D8%A7%205%208%202013%20%D8%B5%D8%A7%D8%B1%D9%88%D8%AE%20%D8%A7%D9%84%D8%B0%D9%8A%20%D9%83%D8%A7%D9%86%20%D9%8A%D8%AD%D9%85%D9%84%20%D9%85%D9%88%D8%A7%D8%AF%D8%A7%20%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%D8%A9%20%D9%88%D9%8A%D8%B8%D9%87%D8%B1%20%D8%AD%D9%88%D9%84%D9%87%20%D8%AD%D9%8A%D9%88%D8%A7%D9%86%D8%A7%D8%AA%20%D9%86%D8%A7%D9%81%D9%82%D8%A9%20%D8%A5%D8%AB%D8%B1%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A.mp4,YLcqi_dE9SU,https://www.youtube.com/channel/UCTTS1Rnb3I8nHruZDLnkItg,,,,,,,,,,,,,,,,,,,,,,,
CW_1009,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,05/08/2013 00:00:00,Remains of rocket,بقايا الصاروخ المحمل بمواد كيماوية,Use of illegal weapons,UnKnown,Abu Baraa who is a citizen reporter,ابو البراء,http://syriantechies.com/files/videoapiresults/Abu_Albaraa_Adra/3-cAyWnnLcI%D8%B9%D8%AF%D8%B1%D8%A7:%20%D9%85%D9%85%D9%8A%D8%B2%20%D9%84%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%85%20%D8%A7%D8%AD%D8%AF%20%D8%B5%D9%88%D8%A7%D8%B1%D9%8A%D8%AE%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%20%D8%A7%D9%84%D8%AA%D9%8A%20%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D9%81.mp4,3-cAyWnnLcI,https://www.youtube.com/user/adranews2011,,,,,,,,,,,,,,,,,,,,,,,
CW_1010,Adra,عدرا,36.5112588,33.6076513,APPROXIMATE,05/08/2013 00:00:00,Remains of rocket,بقايا الصاروخ المحمل بمواد كيماوية,Use of illegal weapons,UnKnown,Abu Baraa who is a citizen reporter,ابو البراء,http://syriantechies.com/files/videoapiresults/Abu_Albaraa_Adra/v4KKcXTz_LY%D8%B9%D8%AF%D8%B1%D8%A7:%20%D8%A7%D8%AD%D8%AF%20%D8%A7%D9%84%D8%B5%D9%88%D8%A7%D8%B1%D9%8A%D8%AE%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%D8%A9%20%D8%A7%D9%84%D8%AA%D9%8A%20%D8%AA%D9%85%20%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81%20%D8%B9%D8%AF%D8%B1%D8%A7%20%D8%A8%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE5-8-2013.mp4,v4KKcXTz_LY,https://www.youtube.com/user/adranews2011,,,,,,,,,,,,,,,,,,,,,,,
