unique_event_ID,location_name,location_name_ar,geo_longitude,geo_latitude,geo_accuracy,date_time,event_summary,event_summary_ar,type_of_violation,weapons_used,sources,sources_ar,embedded_videos,youtube_id_video,url_links,photos,files,number_1: *RENAME*,number_2: *RENAME*,number_3: *RENAME*,number_4: *RENAME*,number_5: *RENAME*,tag_1: *RENAME*,tag_2: *RENAME*,tag_3: *RENAME*,tag_4: *RENAME*,tag_5: *RENAME*,boolean_1: *RENAME*,boolean_2: *RENAME*,boolean_3: *RENAME*,boolean_4: *RENAME*,boolean_5: *RENAME*,Column,Column2,Column3,Column4,media_available,COMMENTS / QUERIES
CW_1116,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Casualties of the chemical attack,إصابات نتيجة القصف بالسلاح الكيماوي,Use of illegal weapons,Sarin Gas,Coordinating Kafar Batna Media Center,المكتب الإعلامي في تنسيقية كفر بطنا,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/T000000176.mp4,,https://www.youtube.com/user/syriafredoom/,,,,,,,,,,,,,,,,,,,,,,,
CW_1117,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/22/13 12:00 AM,Testimony of survivor of chemical attack,مقابلة مع الناجية سمر المصري وابنتها، اللتان تعرضتا للغازات الكبماوية,Use of illegal weapons,Sarin Gas,VDC,مركز توثيق الانتهاكات,"http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D9%85%D9%82%D8%A7%D8%A8%D9%84%D8%A9%20-%D8%B7%D9%81%D9%84%D8%A9%20%D9%84%D9%85%20%D8%AA%D8%B9%D8%AF%20%D8%AA%D8%AA%D8%B9%D8%B1%D9%81%20%D8%B9%D9%84%D9%89%20%D8%A7%D9%85%D9%87%D8%A7%20%D8%A8%D8%B3%D8%A8%D8%A8%20%D8%AA%D8%B9%D8%B1%D8%B6%D9%87%D9%85%20%D9%84%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA%20%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%D8%A9%20CW%20Massacre%20Survivors%e2%80%ac%e2%80%ac,Subtitled-2aARXIwPNew.mp4",2aARXIwPNew,https://www.youtube.com/channel/UCOT0rCJLOYfjXR7DqteC_Yg,,,,,,,,,,,,,,,,,,,,,,,
CW_1118,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Casualties of the chemical attack,اعراض الاصابة بالغازات السامة على المدنيين,Use of illegal weapons,Sarin Gas,Free Duma Network,شبكة أحرار دوما ,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D9%87%D8%A7%D8%A7%D8%A7%D8%A7%D8%A7%D8%A7%D8%A7%D8%A7%D9%85%20%D8%AC%D8%AF%D8%A7%D9%8B%20_%20%D8%B1%D9%8A%D9%81%20%D8%AF%D9%85%D8%B4%D9%82%20_%20%D8%AD%D8%A7%D9%84%D8%A7%D8%AA%20%D8%AE%D8%B7%D9%8A%D8%B1%D8%A9%20%D8%AC%D8%B1%D8%A7%D8%A1%20%D8%A7%D8%B3%D8%AA%D9%86%D8%B4%D8%A7%D9%82%20%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B3%D8%A7%D9%85%D8%A9%20%20(%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%20)%20%D9%81%D9%8A%20%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9%208_21-nfp-CdtdX0o.mp4,nfp-CdtdX0o,https://www.youtube.com/user/Syriaaaafree,,,,,,,,,,,,,,,,,,,,,,,
CW_1119,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Casualties of the chemical attack,ضحايا القصف الكيماوي,Use of illegal weapons,Sarin Gas,Free Duma Network,شبكة أحرار دوما ,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D9%87%D8%A7%D8%A7%D8%A7%D8%A7%D8%A7%D9%85%20%D9%88%D8%AE%D8%B7%D9%8A%D8%B1%20%D9%84%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%85%20_%20%D8%B1%D9%8A%D9%81%20%D8%AF%D9%85%D8%B4%D9%82%20_%20%D8%B4%D9%87%D8%A7%D8%AF%D8%A9%20%D8%A3%D8%AD%D8%AF%20%D8%A7%D9%84%D9%86%D8%A7%D8%AC%D9%8A%D9%86%20%D9%85%D9%86%20%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%20%D9%81%D9%8A%20%D8%B2%D9%85%D9%84%D9%83%D8%A7%202013_8_21-GJmz9wP3HWk.mp4,GJmz9wP3HWk,https://www.youtube.com/user/Syriaaaafree,,,,,,,,,,,,,,,,,,,,,,,
CW_1126,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Casualties of the chemical attack,ضحايا القصف الكيماوي,Use of illegal weapons,Sarin Gas,Coordinating Kafar Batna Media Center,المكتب الإعلامي في تنسيقية كفر بطنا,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D9%81%D9%8A%D8%AF%D9%8A%D9%88%20%D9%85%D8%A4%D8%AB%D8%B1%20%D8%AC%D8%AF%D8%A7%D9%8B%20%D8%A7%D8%B3%D8%AA%D8%B4%D9%87%D8%AF%20%D8%B9%D8%B4%D8%B1%D8%A7%D8%AA%20%D9%88%D9%84%D8%A7%D9%8A%D9%88%D8%AC%D8%AF%20%D9%83%D8%A7%D8%AF%D8%B1%20%D8%B7%D8%A8%D9%8A-njUUPpVmHYk.mp4,njUUPpVmHYk,https://www.youtube.com/user/syriafredoom/,,,,,,,,,,,,,,,,,,,,,,,
CW_1128,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Child casualty of the chemical attack,محاولة انقاذ طفل,Use of illegal weapons,Sarin Gas,"Hadi, citizen journalist in Damascus Suburbs",هادي مراسل ميداني في ريف دمشق,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D9%85%D8%A4%D8%AB%D8%B1%20%D9%88%20%D9%85%D9%85%D9%8A%D8%B2%20%D9%85%D8%AD%D8%A7%D9%88%D9%84%D8%A9%20%D8%A7%D9%86%D9%82%D8%A7%D8%B0%20%D8%B7%D9%81%D9%84%20%D8%B5%D8%BA%D9%8A%D8%B1%20%D9%85%D8%B5%D8%A7%D8%A8%20%D8%A8%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%2021-08-2013-IznlJfozlZA.mp4,IznlJfozlZA,https://www.youtube.com/channel/UCUMVShr9h2Uub_N9WQ8Am3g,,,,,,,,,,,,,,,,,,,,,,,
CW_1123,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Casualties of the chemical attack,إسعاف المصابين نتيجة التأثر بالغاز الكيماوي,Use of illegal weapons,Sarin Gas,S.R.C.C ,مجلس قيادة الثورة,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7%20%D8%A7%D9%84%D9%85%D8%AC%D8%B2%D8%B1%D8%A9%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%D8%A9%20%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%20%D9%81%D9%8A%20%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9%20%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9%20%D8%A7%D8%B3%D8%B9%D8%A7%D9%81%20%D8%A3%D8%B7%D9%81%D8%A7%D9%84%20%D8%A7%D9%84%D9%89%20%D8%A7%D9%84%D9%86%D9%82%D8%A7%D8%B7%20%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9%20%D8%A7%D9%84%D9%85%D9%8A%D8%AF%D8%A7%D9%86%D9%8A%D8%A9%2021%208%202013-fSvm8mDZyOY.mp4,fSvm8mDZyOY,https://www.youtube.com/channel/UCkJe97qZm6TgLed1S0XK_jw,,,,,,,,,,,,,,,,,,,,,,,
CW_1124,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Casualties of the chemical attack,شاب مصاب,Use of illegal weapons,Sarin Gas,S.R.C.C ,مجلس قيادة الثورة ,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7%20%D8%A7%D9%84%D9%85%D8%AC%D8%B2%D8%B1%D8%A9%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%D8%A9%20%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%20%D9%81%D9%8A%20%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9%20%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9%20%D8%B4%D9%87%D8%A7%D8%AF%D8%A9%20%D8%A7%D8%AD%D8%AF%20%D8%A7%D9%84%D9%85%D8%B5%D8%A7%D8%A8%D9%8A%D9%86%2021%208%202013-6O-G9HQru_o.mp4,6O-G9HQru_o,https://www.youtube.com/channel/UCkJe97qZm6TgLed1S0XK_jw,,,,,,,,,,,,,,,,,,,,,,,
CW_1132,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Citizen journalist report on the chemical attack in Damascus,مراسل ميداني يشرح تفاصيل الحادثة بعد القصف الكيماوي على دمشق,Use of illegal weapons,Sarin Gas,S.R.C.C ,مجلس قيادة الثورة,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/T000000175.mp4,,https://www.youtube.com/channel/UCkJe97qZm6TgLed1S0XK_jw,,,,,,,,,,,,,,,,,,,,,,,
CW_1131,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Witness testimony on the chemical attack in Damascus,شاهد على القصف الكيماوي في دمشق,Use of illegal weapons,Sarin Gas,UnKnown,UnKnown,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/T000000174.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
CW_1133,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Child casualty of the chemical attack,إصابة طفل صغير بالغازات الكيماوية,Use of illegal weapons,Sarin Gas,UnKnown,UnKnown,http://syriantechies.com/files/chemicalweapons/Damascus%20Countryside/T000000182.mp4,,,,,,,,,,,,,,,,,,,,,,,,,
CW_1135,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/20/14 12:00 AM,Interview with survivors of the chemical attack,مقابلة مع أحد ناجين القصف الكيماوي,Use of illegal weapons,Sarin Gas,Syrian Revolution Coordinators Union,اتحاد تنسيقيات الثورة السورية,http://syriantechies.com/files/videoapiresults/syrcu/%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF%20%D8%AA%D9%86%D8%B3%D9%8A%D9%82%D9%8A%D8%A7%D8%AA%20%D8%A7%D9%84%D8%AB%D9%88%D8%B1%D8%A9%20%D9%87%D8%A7%D9%85%20%20%D8%A3%D8%AD%D8%AF%20%D8%A7%D9%84%D9%86%D8%A7%D8%AC%D9%8A%D9%86%20%D9%85%D9%86%20%D9%85%D8%AC%D8%B2%D8%B1%D8%A9%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%20%D8%A8%D8%B9%D8%AF%20%D8%A7%D9%86%20%D8%A7%D8%B5%D9%8A%D8%A8%20%D9%87%D9%88%20%D9%88%D8%B9%D8%A7%D8%A6%D9%84%D8%AA%D9%87%20%D9%88%20%D9%88%D9%83%D8%A7%D9%86%20%D8%B4%D8%A7%D9%87%D8%AF%D8%A7%D9%8B%20%D8%B9%D9%84%D9%89%20%D9%85%D9%88-GpoTeb_tgwg.mp4,GpoTeb_tgwg,,,,,,,,,,,,,,,,,,,,,,,,
CW_1136,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/21/13 12:00 AM,Interview with survivors of the chemical attack,مقابلة مع أحد ناجين القصف الكيماوي,Use of illegal weapons,Sarin Gas,Nidaa Al Sham Media Association,مؤسسة نداء شام الاعلامية,http://syriantechies.com/files/videoapiresults/nidaa_alsham_damascus/%D9%86%D8%AF%D8%A7%D8%A1%20%D8%A7%D9%84%D8%B4%D8%A7%D9%85%20_%20%D9%85%D9%82%D8%A7%D8%A8%D9%84%D8%A9%20%D9%85%D8%B9%20%D8%A3%D8%AD%D8%AF%20%D8%A7%D9%84%D9%85%D8%B5%D8%A7%D8%A8%D9%8A%D9%86%20%D8%A8%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D8%AD%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%20%D8%A8%D8%B9%D8%AF%20%D8%A3%D9%86%20%D8%AA%D9%85%20%D8%A5%D9%86%D9%82%D8%A7%D8%B0%D9%87%2021-8-2013-T2Afq_HnfAA.mp4,T2Afq_HnfAA,,,,,,,,,,,,,,,,,,,,,,,,
CW_1137,Zamalka,زملكا,36.3510736,33.5261956,APPROXIMATE,08/25/13 12:00 AM,The testimony of murad who is a citizen reporters that witnessed the chemical attack in Damascus, شهادة الناشط الإعلامي مراد أحد سكان زملكا بشأن القصف بالأسلحة الكيماوية,Use of illegal weapons,Sarin Gas,VDC,مركز توثيق الانتهاكات,http://syriantechies.com/files/videoapiresults/vdc/%D8%B2%D9%85%D9%84%D9%83%D8%A7%2025-08-2013%20-%20%D8%B4%D9%87%D8%A7%D8%AF%D8%A9%20%D8%A7%D9%84%D9%86%D8%A7%D8%B4%D8%B7%20%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%85%D9%8A%20%D9%85%D8%B1%D8%A7%D8%AF%20%D8%A3%D8%AD%D8%AF%20%D8%B3%D9%83%D8%A7%D9%86%20%D8%B2%D9%85%D9%84%D9%83%D8%A7%20%D8%A8%D8%B4%D8%A3%D9%86%20%D8%A7%D9%84%D9%82%D8%B5%D9%81%20%D8%A8%D8%A7%D9%84%D8%A3%D8%B3%D9%84%D8%AD%D8%A9%20%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A%D8%A9-rxRrih_nZcA.mp4,rxRrih_nZcA,,,,,,,,,,,,,,,,,,,,,,,,
CW_1138,Tamanaah ,التمانعة,36.745706,35.456562,APPROXIMATE,22/05/2014 03:00:00,One of the casualties,احد المصابين بالغاز السام في التمانعة,Use of illegal weapons,,Abu Fadi al-Hour,أبو فادي الحور,https://www.youtube.com/user/freedom8580,http://syriantechies.com/files/chemicalweapons/Idlib/%d8%a7%d8%ad%d8%af%20%d8%a7%d9%84%d9%85%d8%b5%d8%a7%d8%a8%d9%8a%d9%86%20%d8%a8%d8%a7%d9%84%d8%ba%d8%a7%d8%b2%20%d8%a7%d9%84%d8%b3%d8%a7%d9%85%20%d9%81%d9%8a%20%d8%a7%d9%84%d8%aa%d9%85%d8%a7%d9%86%d8%b9%d8%a9%2022_05_2014-sODZWf4dl9M.mp4,ODZWf4dl9M,,,,,,,,,,,,,,Abu Fadi al-Hour,أبو فادي الحور,https://www.youtube.com/user/freedom8580,http://syriantechies.com/files/chemicalweapons/Idlib/%d8%a7%d8%ad%d8%af%20%d8%a7%d9%84%d9%85%d8%b5%d8%a7%d8%a8%d9%8a%d9%86%20%d8%a8%d8%a7%d9%84%d8%ba%d8%a7%d8%b2%20%d8%a7%d9%84%d8%b3%d8%a7%d9%85%20%d9%81%d9%8a%20%d8%a7%d9%84%d8%aa%d9%85%d8%a7%d9%86%d8%b9%d8%a9%2022_05_2014-sODZWf4dl9M.mp4,ODZWf4dl9M,,,,,
CW_1139,Tamanaah ,التمانعة,37.745706,36.456562,APPROXIMATE,22/05/2014 02:00:00,Casualties of the chemical attack including woman and children,استهداف بلدة التمانعة بالغازات السامة,Use of illegal weapons,,Abu Fadi al-Hour,أبو فادي الحور,https://www.youtube.com/user/freedom8580,http://syriantechies.com/files/chemicalweapons/Idlib/%d8%a7%d8%b3%d8%aa%d9%87%d8%af%d8%a7%d9%81%20%d8%a8%d9%84%d8%af%d8%a9%20%d8%a7%d9%84%d8%aa%d9%85%d8%a7%d9%86%d8%b9%d8%a9%20%d8%a8%d8%a7%d9%84%d8%ba%d8%a7%d8%b2%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b3%d8%a7%d9%85%d8%a9%2022_05_2014-OqFgqrSgUhA.mp4,OqFgqrSgUhA,,,,,,,,,,,,,,Abu Fadi al-Hour,أبو فادي الحور,https://www.youtube.com/user/freedom8580,http://syriantechies.com/files/chemicalweapons/Idlib/%d8%a7%d8%b3%d8%aa%d9%87%d8%af%d8%a7%d9%81%20%d8%a8%d9%84%d8%af%d8%a9%20%d8%a7%d9%84%d8%aa%d9%85%d8%a7%d9%86%d8%b9%d8%a9%20%d8%a8%d8%a7%d9%84%d8%ba%d8%a7%d8%b2%d8%a7%d8%aa%20%d8%a7%d9%84%d8%b3%d8%a7%d9%85%d8%a9%2022_05_2014-OqFgqrSgUhA.mp4,OqFgqrSgUhA,,,,,
